sub_id,name,type,bus1,bus2,W1,W2,latitude,longitude,gic
82004992,T1,GY-D,6451,6452,0.05,0.1,43.93182620629218,-70.20327037247132,{'i_k': -300.86199781430275}
47429571,T2,GY-D,5167,5168,0.05,0.1,28.470988734764298,-81.44088812710847,{'i_k': -2.969629858601273}
172016584,T3,GY-D,2599,2600,0.05,0.1,40.25416679017616,-74.11846467339706,{'i_k': -170.3041666066969}
1115995434,T4,GY-D,575,576,0.05,0.1,46.08793157099949,-98.90383997943138,{'i_k': 0.0}
97126451,T5,GY-D,7205,7206,0.05,0.1,37.02836144878278,-76.42968634818175,{'i_k': -3.506015692100183}
164419150,T6,GY-GY,1898,1897,0.04,0.06,33.63052964310055,-87.0556664332525,"{'i_w1': -51.024354097909445, 'i_w2': -37.29188198535956}"
81524462,T7,GY-D,6393,6394,0.05,0.1,36.98661163051016,-76.43038552042745,{'i_k': -7.340687201451266}
166776121,T8,GY-D,2087,2088,0.05,0.1,30.560548389687327,-81.85030127214779,{'i_k': -1.1140865711865942}
39331421,T9,GY-D,4835,4836,0.05,0.1,34.93703018448539,-92.43852615254023,{'i_k': -175.20415430733678}
175368291,T10,GY-D,2913,2914,0.05,0.1,43.000030338277504,-85.41540713465261,{'i_k': -62.52996339099431}
49615856,T11,GY-D,5281,5282,0.05,0.1,26.44629530715679,-80.088674902768,{'i_k': 0.0}
134832527,T12,GY-D,1065,1066,0.05,0.1,42.18796603565216,-71.73746958685817,{'i_k': -346.8591551877337}
59409863,T13,GY-D,5717,5718,0.05,0.1,38.931667779694536,-77.30377796497675,{'i_k': -79.93088136027266}
166846899,T14,GY-D,2113,2114,0.05,0.1,30.058155537293885,-81.52894621447794,{'i_k': -7.117636356573887}
82121418,T15,GY-D,6479,6480,0.05,0.1,37.42013807494822,-76.91195250883091,{'i_k': -74.28110125613624}
164658796,T16,GY-GY,1936,1935,0.04,0.06,32.22915971361611,-86.2606169400901,"{'i_w1': -43.427092439815105, 'i_w2': -24.370924678734543}"
694747932,T17,GY-D,6057,6058,0.05,0.1,40.53129029464653,-74.34687598477356,{'i_k': -33.00923745638655}
181134948,T18,GY-D,3233,3234,0.05,0.1,40.58031255054021,-77.59022637390444,{'i_k': -56.67483716927929}
81512682,T19,GY-D,6387,6388,0.05,0.1,37.09138233245193,-76.38873817767885,{'i_k': -8.576712407118546}
104111198,T20,GY-D,209,210,0.05,0.1,38.694983969912805,-77.26074023245151,{'i_k': 0.0}
153209358,T21,GY-D,1477,1478,0.05,0.1,40.77125133864502,-86.8673345025657,{'i_k': -111.98233537042867}
140012533,T22,GY-D,1237,1238,0.05,0.1,42.01016342218112,-71.67370194621338,{'i_k': -428.91167376757517}
669594105,T23,GY-D,5959,5960,0.05,0.1,44.14098754380475,-70.18605900924541,{'i_k': -77.1052728484235}
102222589,T24,GY-D,73,74,0.05,0.1,41.16168667900151,-102.99120094264931,{'i_k': -12.578638901509997}
228341144,T25,GY-D,4037,4038,0.05,0.1,38.95018716021653,-77.19947142503617,{'i_k': 1.2968459181666925}
176727205,T26,GY-D,2993,2994,0.05,0.1,41.30344465272964,-81.47421978204326,{'i_k': -26.090969381018954}
170991651,T27,GY-D,2385,2386,0.05,0.1,32.88253020337303,-83.31691687237705,{'i_k': 0.0}
25899010,T28,GY-D,4149,4150,0.05,0.1,27.908376516530883,-82.40878327080327,{'i_k': -2.5133767833660086}
98882909,T29,GY-D,7317,7318,0.05,0.1,28.04365992427536,-80.70674166622064,{'i_k': -1.587507698235422}
138626912,T30,GY-D,1149,1150,0.05,0.1,32.26160837989299,-90.1641978593603,{'i_k': -0.6349458356982468}
89406749,T31,GY-GY,6766,6765,0.04,0.06,41.52288828705316,-86.3609059417599,"{'i_w1': -289.208722167108, 'i_w2': -108.730617927351}"
33127731,T32,GY-D,4413,4414,0.05,0.1,41.63027781646825,-88.09526485572978,{'i_k': -51.19681613738629}
175158205,T33,GY-D,2897,2898,0.05,0.1,34.028033500191114,-84.56167944994003,{'i_k': -5.020040638701981}
