sub_id,name,type,bus1,bus2,W1,W2,latitude,longitude,gic
181388971,T2031,GY-D,3255,3256,0.05,0.1,43.1776984938082,-123.56482846790423,{'i_k': 0.0}
181393031,T2032,GY-D,3257,3258,0.05,0.1,43.743005747214575,-124.08292676449506,{'i_k': -1.723144040228831}
100586555,T2033,GY-D,17,18,0.05,0.1,44.0074672278007,-124.01077308510288,{'i_k': 6.853442205146169}
850198682,T2034,GY-D,6605,6606,0.05,0.1,43.66109126355659,-121.45425859403936,{'i_k': -4.576081658290245}
88982424,T2035,GY-D,6733,6734,0.05,0.1,44.05719125252767,-121.23342589083892,{'i_k': 4.750097522959972}
128370036,T2036,GY-D,961,962,0.05,0.1,44.38820363201348,-123.00971965467365,{'i_k': 0.0}
88615577,T2037,GY-D,6711,6712,0.05,0.1,44.0957134381076,-123.04371678117464,{'i_k': 0.0}
181510021,T2038,GY-D,3259,3260,0.05,0.1,44.76972339111278,-122.94688831100974,{'i_k': 0.0}
54675166,T2039,GY-D,5559,5560,0.05,0.1,45.371730299457546,-122.836293287925,{'i_k': -8.090163651151109}
93174018,T2040,GY-D,6933,6934,0.05,0.1,45.33856787061116,-122.55898792431069,{'i_k': -13.313984624781911}
985717554,T2041,GY-D,7299,7300,0.05,0.1,45.229855883285566,-123.16311889791127,{'i_k': 0.0}
51541608,T2042,GY-D,5359,5360,0.05,0.1,45.43801035945851,-122.83091239583702,{'i_k': 2.1816205609921226}
51777289,T2043,GY-D,5375,5376,0.05,0.1,45.507436251573786,-122.84403377088044,{'i_k': 4.279398986498713}
86092858,T2044,GY-D,6627,6628,0.05,0.1,45.4027253694922,-122.52689438261564,{'i_k': 0.11847817037017236}
13259362,T2045,GY-D,1017,1018,0.05,0.1,45.49023380897826,-122.46175047320152,{'i_k': -1.4657902735067478}
51757617,T2046,GY-D,5373,5374,0.05,0.1,45.61432472298225,-122.76767097223627,{'i_k': 9.259251940016801}
134079601,T2047,GY-D,1053,1054,0.05,0.1,46.91107496855911,-113.96821461718592,{'i_k': 6.571430500959046}
54051870,T2048,GY-GY,5522,5521,0.04,0.06,45.558861542943966,-122.4038387799322,"{'i_w1': 24.324289748050425, 'i_w2': 11.011367994793712}"
162802960,T2049,GY-D,1807,1808,0.05,0.1,40.37026606737474,-107.04231727190934,{'i_k': -2.7183765372204407}
103563503,T2050,GY-D,169,170,0.05,0.1,40.48058060734966,-107.18562356293192,{'i_k': 5.703599167799221}
102222586,T2051,GY-D,71,72,0.05,0.1,41.14526000912674,-104.64904465031591,{'i_k': 1.516543554174124}
137822360,T2052,GY-D,1109,1110,0.05,0.1,47.10624683566242,-104.76960615728642,{'i_k': -8.112934101756439}
173697138,T2053,GY-D,2759,2760,0.05,0.1,46.38399501122912,-104.26632814532744,{'i_k': -3.708940873664601}
90523754,T2054,GY-D,6841,6842,0.05,0.1,45.762906283277,-107.68749840819194,{'i_k': -5.921946753922971}
183178948,T2055,GY-D,3351,3352,0.05,0.1,45.78275696739533,-108.17516872090088,{'i_k': -0.23963644207453544}
172866280,T2056,GY-D,2707,2708,0.05,0.1,45.77399842934528,-108.48006158145056,{'i_k': 6.16158319599751}
353502433,T2057,GY-D,4593,4594,0.05,0.1,46.57293503184957,-109.75275405214202,{'i_k': -1.886320615594221}
97171697,T2058,GY-D,7217,7218,0.05,0.1,45.85761273621279,-108.590967757041,{'i_k': -3.1719271613066455}
170401627,T2059,GY-D,2329,2330,0.05,0.1,46.09959775054734,-112.87550478767687,{'i_k': 6.919093953746941}
170263866,T2060,GY-D,2315,2316,0.05,0.1,46.104516406981794,-112.8763320969152,{'i_k': 25.517175100648494}
182953198,T2061,GY-D,3337,3338,0.05,0.1,45.95495281636002,-110.66586736624888,{'i_k': -7.197680529071856}
182953197,T2062,GY-D,3335,3336,0.05,0.1,45.84897576898449,-108.715746559022,{'i_k': 8.040730562800306}
346449801,T2063,GY-D,4569,4570,0.05,0.1,47.5373436802829,-111.19520636506172,{'i_k': 0.0}
170400062,T2064,GY-D,2327,2328,0.05,0.1,44.82785971240818,-106.94182708110806,{'i_k': 0.0}
170182788,T2065,GY-D,2311,2312,0.05,0.1,43.0182941956768,-108.41116120153552,{'i_k': -9.36252953966242}
183115175,T2066,GY-D,3349,3350,0.05,0.1,47.71372425985668,-111.96520558690156,{'i_k': -18.436459475084792}
51474429,T2067,GY-D,5351,5352,0.05,0.1,47.54231910186186,-111.22203711996322,{'i_k': 3.9013278864439}
173216572,T2068,GY-D,2727,2728,0.05,0.1,48.12948156481752,-111.93866182633154,{'i_k': 9.314477858836188}
122792698,T2069,GY-D,829,830,0.05,0.1,42.524990261018885,-108.7624010844862,{'i_k': 0.0}
167144166,T2070,GY-D,2141,2142,0.05,0.1,42.87223811158667,-106.35975991122103,{'i_k': 9.362529539662422}
170763980,T2071,GY-D,2373,2374,0.05,0.1,41.79092399061287,-107.11125822143926,{'i_k': -6.097792537542927}
101830555,T2072,GY-D,49,50,0.05,0.1,41.9600512236862,-106.39459505989886,{'i_k': -20.993379262504934}
170960017,T2073,GY-D,2383,2384,0.05,0.1,42.17993134364351,-106.22986655135152,{'i_k': 20.993379262504934}
103928302,T2074,Auto,196,195,0.04,0.06,42.11044455459273,-104.88836290205202,"{'i_s': 0.24886870832059663, 'i_c': 0.2488686975761984}"
103928303,T2075,Auto,198,197,0.04,0.06,42.10733662736652,-104.8873180110963,"{'i_s': 16.09913055325268, 'i_c': 22.453983097136167}"
167015118,T2076,GY-D,2135,2136,0.05,0.1,42.86163148035561,-105.77944314323146,{'i_k': 0.0}
104199782,T2077,GY-D,215,216,0.05,0.1,40.47137115553854,-107.58033590858555,{'i_k': 0.6723264200369385}
162889553,T2078,GY-D,1817,1818,0.05,0.1,40.11128566510493,-106.43688954923124,{'i_k': -0.41765350390535416}
133302129,T2079,GY-D,1037,1038,0.05,0.1,39.79196687999488,-106.13743243251524,{'i_k': -0.023327031948017548}
131695171,T2080,GY-D,1009,1010,0.05,0.1,39.60897837125212,-105.99168700429112,{'i_k': -7.973378510191692}
128413938,T2081,GY-D,963,964,0.05,0.1,39.48509952041194,-106.03348965060214,{'i_k': -0.16513119312979094}
162628281,T2082,GY-D,1803,1804,0.05,0.1,39.2678864740653,-106.04749013304928,{'i_k': 0.14714485505555572}
133651009,T2083,GY-D,1041,1042,0.05,0.1,39.18871695735465,-106.32554278645073,{'i_k': -2.1263882682433595}
133656149,T2084,GY-D,1043,1044,0.05,0.1,39.371271620786366,-107.05063082178845,{'i_k': 1.2564273361869838}
162655313,T2085,GY-D,1805,1806,0.05,0.1,39.4856910329456,-107.19180162557892,{'i_k': -1.0030820353198258}
106028139,T2086,Auto,388,387,0.04,0.06,39.52074318940699,-107.67979249140522,"{'i_s': 8.769615866821567e-08, 'i_c': -1.2346724043949378}"
115563007,T2087,GY-D,631,632,0.05,0.1,39.466187993851456,-108.04385902905096,{'i_k': 2.323652161713316}
230171778,T2088,GY-D,4045,4046,0.05,0.1,39.11722677665056,-108.65379908654704,{'i_k': -1.9865552616766418}
230300564,T2089,GY-D,4057,4058,0.05,0.1,39.062632937221466,-108.56362894590812,{'i_k': -0.30585301032904394}
230176271,T2090,GY-D,4047,4048,0.05,0.1,39.09851365447508,-108.58085562696613,{'i_k': 2.2924082720056886}
162586133,T2091,Auto,1794,1793,0.04,0.06,39.046981549342014,-108.4147102112966,"{'i_s': 6.013854859269821, 'i_c': 6.013854769243339}"
